metro_nonmetro,year,county_name,state_abbr,geoId,value_poverty,value_unemployment
Metropolitan,2009,Adams County,CO,us-co-001,0.13299992007216,0.08464176378615
Metropolitan,2009,Arapahoe County,CO,us-co-005,0.1230000125743,0.07252869627548
Metropolitan,2009,Boulder County,CO,us-co-013,0.1289999320606,0.06126437174535
Metropolitan,2009,Broomfield County,CO,us-co-014,0.04900027141952,0.06882801102286
Metropolitan,2009,Clear Creek County,CO,us-co-019,0.08099652375435,0.07187615186141
Metropolitan,2009,Denver County,CO,us-co-031,0.18799989340049,0.0810681647201
Metropolitan,2009,Douglas County,CO,us-co-035,0.03299997910733,0.06165669837925
Metropolitan,2009,El Paso County,CO,us-co-041,0.11500003413831,0.07874401284366
Metropolitan,2009,Elbert County,CO,us-co-039,0.05400043131335,0.06989870872961
Metropolitan,2009,Gilpin County,CO,us-co-047,0.07299927901947,0.06040816326531
Metropolitan,2009,Jefferson County,CO,us-co-059,0.08099998497844,0.07129461465572
Metropolitan,2009,Larimer County,CO,us-co-069,0.14699979759654,0.06262295081967
Metropolitan,2009,Mesa County,CO,us-co-077,0.11799967898839,0.08368771857141
Metropolitan,2009,Park County,CO,us-co-093,0.09100186085599,0.06951585261354
Metropolitan,2009,Pueblo County,CO,us-co-101,0.16900052056221,0.08185630266736
Metropolitan,2009,Teller County,CO,us-co-119,0.08200138985407,0.0754607818828
Metropolitan,2009,Weld County,CO,us-co-123,0.14799998401426,0.08179293012797
Metropolitan,2010,Adams County,CO,us-co-001,0.12999990909256,0.1003027055644
Metropolitan,2010,Arapahoe County,CO,us-co-005,0.11399999650162,0.08574376905259
Metropolitan,2010,Boulder County,CO,us-co-013,0.13599997217178,0.07037870024017
Metropolitan,2010,Broomfield County,CO,us-co-014,0.06000036112164,0.07419620774938
Metropolitan,2010,Clear Creek County,CO,us-co-019,0.086,0.08109550062244
Metropolitan,2010,Denver County,CO,us-co-031,0.21300004743801,0.09110733910642
Metropolitan,2010,Douglas County,CO,us-co-035,0.03499996494746,0.06957758281383
Metropolitan,2010,El Paso County,CO,us-co-041,0.13400004274481,0.09346801258864
Metropolitan,2010,Elbert County,CO,us-co-039,0.06500021812154,0.08059584476676
Metropolitan,2010,Gilpin County,CO,us-co-047,0.07500461851099,0.08025247971145
Metropolitan,2010,Jefferson County,CO,us-co-059,0.08800001511833,0.08368720665764
Metropolitan,2010,Larimer County,CO,us-co-069,0.13600008206784,0.07632896277081
Metropolitan,2010,Mesa County,CO,us-co-077,0.1469995239562,0.10953450790272
Metropolitan,2010,Park County,CO,us-co-093,0.09299876084263,0.08142308889119
Metropolitan,2010,Pueblo County,CO,us-co-101,0.19599984535485,0.1038899940857
Metropolitan,2010,Teller County,CO,us-co-119,0.0869994844475,0.09357293184394
Metropolitan,2010,Weld County,CO,us-co-123,0.14300004033397,0.09183534227883
Metropolitan,2011,Adams County,CO,us-co-001,0.1610001726291,0.09921949362269
Metropolitan,2011,Arapahoe County,CO,us-co-005,0.12000006912845,0.08264918418934
Metropolitan,2011,Boulder County,CO,us-co-013,0.13800022755247,0.06452250555226
Metropolitan,2011,Broomfield County,CO,us-co-014,0.06500035154327,0.07016494585747
Metropolitan,2011,Clear Creek County,CO,us-co-019,0.08899585805441,0.07381818181818
Metropolitan,2011,Denver County,CO,us-co-031,0.18699997204366,0.08594765860555
Metropolitan,2011,Douglas County,CO,us-co-035,0.04300002416701,0.06396931999823
Metropolitan,2011,El Paso County,CO,us-co-041,0.13200005172352,0.09110653752239
Metropolitan,2011,Elbert County,CO,us-co-039,0.07899974041706,0.07495660407133
Metropolitan,2011,Gilpin County,CO,us-co-047,0.07800629979618,0.07219333129397
Metropolitan,2011,Jefferson County,CO,us-co-059,0.09000007521002,0.0795265904326
Metropolitan,2011,Larimer County,CO,us-co-069,0.13799983234135,0.07159153397059
Metropolitan,2011,Mesa County,CO,us-co-077,0.12199979110817,0.10251076515402
Metropolitan,2011,Park County,CO,us-co-093,0.09900182057882,0.07686583032107
Metropolitan,2011,Pueblo County,CO,us-co-101,0.18999993597091,0.10524914466765
Metropolitan,2011,Teller County,CO,us-co-119,0.0929993136582,0.09297350666447
Metropolitan,2011,Weld County,CO,us-co-123,0.14399977804113,0.08599620210746
Metropolitan,2012,Adams County,CO,us-co-001,0.14899995584794,0.0940717993224
Metropolitan,2012,Arapahoe County,CO,us-co-005,0.12,0.07715254740803
Metropolitan,2012,Boulder County,CO,us-co-013,0.1419998300909,0.06214533823985
Metropolitan,2012,Broomfield County,CO,us-co-014,0.06400027630988,0.06626002415085
Metropolitan,2012,Clear Creek County,CO,us-co-019,0.09599910594546,0.07029684938991
Metropolitan,2012,Denver County,CO,us-co-031,0.19499991128302,0.07847327561884
Metropolitan,2012,Douglas County,CO,us-co-035,0.0430000066848,0.05997702505511
Metropolitan,2012,El Paso County,CO,us-co-041,0.13099998086893,0.0883340928325
Metropolitan,2012,Elbert County,CO,us-co-039,0.06100068540096,0.07108557033772
Metropolitan,2012,Gilpin County,CO,us-co-047,0.08500459981601,0.06666666666667
Metropolitan,2012,Jefferson County,CO,us-co-059,0.09300005221893,0.07381150959133
Metropolitan,2012,Larimer County,CO,us-co-069,0.13699981849083,0.0668820734541
Metropolitan,2012,Mesa County,CO,us-co-077,0.15099995836398,0.09685762662152
Metropolitan,2012,Park County,CO,us-co-093,0.11500251509054,0.0686506231199
Metropolitan,2012,Pueblo County,CO,us-co-101,0.20200047235148,0.10681995009793
Metropolitan,2012,Teller County,CO,us-co-119,0.09700008645284,0.08380169448872
