metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2009,"Anchorage",AK,us-ak-020,0.076
Metropolitan,2009,"Fairbanks North Star",AK,us-ak-090,0.07900004258762
Metropolitan,2009,"Matanuska-Susitna",AK,us-ak-170,0.08699952842667
Metropolitan,2009,"Autauga",AL,us-al-001,0.11200047550175
Metropolitan,2009,"Baldwin",AL,us-al-003,0.13300031572775
Metropolitan,2009,"Bibb",AL,us-al-007,0.18099950519545
Metropolitan,2009,"Blount",AL,us-al-009,0.14599913681485
Metropolitan,2009,"Calhoun",AL,us-al-015,0.18999928078251
Metropolitan,2009,"Chilton",AL,us-al-021,0.18699894204773
Metropolitan,2009,"Colbert",AL,us-al-033,0.16
Metropolitan,2009,"Elmore",AL,us-al-051,0.14200057495654
Metropolitan,2009,"Etowah",AL,us-al-055,0.17200055144163
Metropolitan,2009,"Geneva",AL,us-al-061,0.19399672973604
Metropolitan,2009,"Hale",AL,us-al-065,0.26600546383181
Metropolitan,2009,"Henry",AL,us-al-067,0.18700224937686
Metropolitan,2009,"Houston",AL,us-al-069,0.17700055676469
Metropolitan,2009,"Jefferson",AL,us-al-073,0.16499993836444
Metropolitan,2009,"Lauderdale",AL,us-al-077,0.1449994271967
Metropolitan,2009,"Lawrence",AL,us-al-079,0.1620004715313
Metropolitan,2009,"Lee",AL,us-al-081,0.20700055319375
Metropolitan,2009,"Limestone",AL,us-al-083,0.13499913700394
Metropolitan,2009,"Lowndes",AL,us-al-085,0.288
Metropolitan,2009,"Madison",AL,us-al-089,0.10300006256648
Metropolitan,2009,"Mobile",AL,us-al-097,0.18700011404714
Metropolitan,2009,"Montgomery",AL,us-al-101,0.19899966122111
Metropolitan,2009,"Morgan",AL,us-al-103,0.15900055313559
Metropolitan,2009,"Pickens",AL,us-al-107,0.27999789672941
Metropolitan,2009,"Russell",AL,us-al-113,0.19899852372023
Metropolitan,2009,"Shelby",AL,us-al-117,0.0689998839895
Metropolitan,2009,"St. Clair",AL,us-al-115,0.13800070274069
Metropolitan,2009,"Tuscaloosa",AL,us-al-125,0.19900013807069
Metropolitan,2009,"Walker",AL,us-al-127,0.16
Metropolitan,2009,"Benton",AR,us-ar-007,0.13100005411548
Metropolitan,2009,"Cleveland",AR,us-ar-025,0.16000951022349
Metropolitan,2009,"Craighead",AR,us-ar-031,0.17900044171039
Metropolitan,2009,"Crawford",AR,us-ar-033,0.17599919358903
Metropolitan,2009,"Crittenden",AR,us-ar-035,0.28299938819211
Metropolitan,2009,"Faulkner",AR,us-ar-045,0.14299941021203
Metropolitan,2009,"Garland",AR,us-ar-051,0.14699947222998
Metropolitan,2009,"Grant",AR,us-ar-053,0.12099725526075
Metropolitan,2009,"Jefferson",AR,us-ar-069,0.24699840281985
Metropolitan,2009,"Lincoln",AR,us-ar-079,0.31498993963783
Metropolitan,2009,"Little River",AR,us-ar-081,0.15100382782595
Metropolitan,2009,"Lonoke",AR,us-ar-085,0.13100071468759
Metropolitan,2009,"Madison",AR,us-ar-087,0.18699497359547
Metropolitan,2009,"Miller",AR,us-ar-091,0.1899981101767
Metropolitan,2009,"Perry",AR,us-ar-105,0.18600766434116
Metropolitan,2009,"Poinsett",AR,us-ar-111,0.26300339039114
Metropolitan,2009,"Pulaski",AR,us-ar-119,0.16699997063009
Metropolitan,2009,"Saline",AR,us-ar-125,0.08499984671824
Metropolitan,2009,"Sebastian",AR,us-ar-131,0.17600019826354
Metropolitan,2009,"Washington",AR,us-ar-143,0.18700017192783
Metropolitan,2009,"Cochise",AZ,us-az-003,0.16199957842168
Metropolitan,2009,"Coconino",AZ,us-az-005,0.17999936811841
Metropolitan,2009,"Maricopa",AZ,us-az-013,0.15100000251922
Metropolitan,2009,"Mohave",AZ,us-az-015,0.17800046096467
Metropolitan,2009,"Pima",AZ,us-az-019,0.18900000999091
Metropolitan,2009,"Pinal",AZ,us-az-021,0.13700012965604
Metropolitan,2009,"Yavapai",AZ,us-az-025,0.14199981053429
Metropolitan,2009,"Yuma",AZ,us-az-027,0.19199995810948
Metropolitan,2009,"Alameda",CA,us-ca-001,0.10799997274982
Metropolitan,2009,"Butte",CA,us-ca-007,0.1850004192169
Metropolitan,2009,"Contra Costa",CA,us-ca-013,0.0950000048713
Metropolitan,2009,"El Dorado",CA,us-ca-017,0.07600013519146
Metropolitan,2009,"Fresno",CA,us-ca-019,0.21499992745463
Metropolitan,2009,"Imperial",CA,us-ca-025,0.22799971635412
Metropolitan,2009,"Kern",CA,us-ca-029,0.22199986467707
Metropolitan,2009,"Kings",CA,us-ca-031,0.19499988083605
Metropolitan,2009,"Los Angeles",CA,us-ca-037,0.16
Metropolitan,2009,"Madera",CA,us-ca-039,0.20599989954725
Metropolitan,2009,"Marin",CA,us-ca-041,0.07299991726648
Metropolitan,2009,"Merced",CA,us-ca-047,0.24600009947939
Metropolitan,2009,"Monterey",CA,us-ca-053,0.17200013292128
Metropolitan,2009,"Napa",CA,us-ca-055,0.0860002613756
Metropolitan,2009,"Orange",CA,us-ca-059,0.10700001580587
Metropolitan,2009,"Placer",CA,us-ca-061,0.07200006897384
Metropolitan,2009,"Riverside",CA,us-ca-065,0.13899996788655
Metropolitan,2009,"Sacramento",CA,us-ca-067,0.1530000304859
Metropolitan,2009,"San Benito",CA,us-ca-069,0.13900003670937
Metropolitan,2009,"San Bernardino",CA,us-ca-071,0.17000004055816
Metropolitan,2009,"San Diego",CA,us-ca-073,0.125
Metropolitan,2009,"San Francisco",CA,us-ca-075,0.11700001491491
